ts,lat,lon,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2017-11-14 00:37,1.337,103.867,0.717,0.572,5,-9.531,0,0.0756,0.153,0.000222,0.109,0.198,119.909,5
2017-11-14 10:19,1.35,103.874,0.663,0.489,5,-8.198,1,0.124,0.227,0.0,0.0769,0.117,81.959,4
2017-11-14 10:42,1.313,103.85,0.73,0.398,0,-9.516,1,0.0509,0.0784,0.018,0.0875,0.394,100.014,4
2017-11-15 00:09,1.313,103.846,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 00:17,1.329,103.841,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
2017-11-15 00:52,1.331,103.848,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 01:29,1.331,103.849,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 01:29,1.332,103.848,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 01:50,1.33,103.89,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4
2017-11-15 01:55,1.326,103.891,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
2017-11-15 03:25,1.327,103.89,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4
2017-11-15 10:28,1.336,103.888,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,4
2017-11-15 10:31,1.335,103.893,0.481,0.973,7,-1.945,1,0.0542,0.0037,0.000877,0.325,0.362,99.331,4
2017-11-15 10:54,1.336,103.894,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-15 11:06,1.334,103.89,0.289,0.796,0,-4.22,1,0.0494,0.00837,2.61e-05,0.202,0.33,169.835,4
2017-11-15 11:23,1.351,103.873,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,4
2017-11-16 00:27,1.313,103.852,0.494,0.841,7,-4.784,1,0.0838,0.00579,0.0,0.122,0.567,162.013,4
2017-11-16 11:16,1.313,103.853,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4
2017-11-16 11:16,1.312,103.853,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4
2017-11-16 12:18,1.316,103.85,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4
2017-11-16 12:21,1.316,103.847,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,4
2017-11-16 12:34,1.313,103.847,0.62,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.448,4
2017-11-16 12:37,1.313,103.85,0.596,0.968,11,-3.33,1,0.132,0.000502,0.000273,0.394,0.708,120.048,4
2017-11-16 23:59,1.313,103.85,0.608,0.448,2,-9.572,1,0.0513,0.484,0.0,0.0804,0.154,120.084,4
2017-11-17 02:50,1.327,103.891,0.55,0.897,2,-4.339,1,0.0338,3.06e-05,0.0,0.149,0.607,93.507,4
2017-11-17 09:39,1.351,103.873,0.565,0.732,9,-6.297,0,0.0283,0.128,0.0,0.365,0.288,83.984,4
2017-11-17 09:39,1.351,103.873,0.565,0.732,9,-6.297,0,0.0283,0.128,0.0,0.365,0.288,83.984,4
2017-11-17 10:23,1.313,103.852,0.566,0.922,3,-3.807,1,0.0448,0.0242,0.0,0.156,0.667,129.938,4
2017-11-25 21:52,1.361,103.966,0.504,0.471,11,-5.668,0,0.032,0.682,0.0,0.108,0.31,72.872,4
2017-11-25 21:52,1.361,103.966,0.285,0.313,0,-6.918,1,0.0348,0.918,0.0,0.108,0.351,199.578,3
2017-11-25 21:52,1.361,103.966,0.537,0.952,0,-2.068,1,0.0431,2.64e-05,0.0,0.109,0.771,103.979,4
2017-11-25 21:52,1.361,103.966,0.676,0.508,2,-7.515,1,0.0577,0.564,0.000142,0.101,0.323,106.015,4
2017-11-25 21:52,1.361,103.966,0.379,0.311,5,-12.324,1,0.0364,0.817,0.00241,0.0686,0.135,84.443,4
2017-11-25 21:52,1.361,103.966,0.326,0.906,11,-3.979,1,0.137,0.000482,0.0,0.0912,0.584,189.888,4
2017-11-25 21:52,1.361,103.966,0.661,0.351,0,-8.846,1,0.0274,0.843,0.0,0.104,0.291,109.9,4
2017-11-25 21:52,1.361,103.966,0.441,0.885,1,-2.876,1,0.131,0.000575,0.0,0.716,0.565,173.961,4
